code,kind,name,price,comment,score,province,city,star
shiraz-talar,hotel,هتل تالار,۳۵۰۰۰۰,(۱۰),۳.۵,فارس,شیراز,(۳ ستاره)
shiraz-parseh,hotel,هتل پارسه,۲۸۰۰۰۰,(۲۰),۳.۷,فارس,شیراز,(۳ ستاره)
shiraz-panjdari,hotel,هتل پنج دری,۴۸۰۰۰۰,(۱۹),۳.۷,فارس,شیراز,(۳ ستاره)
fasa-jahangardi,hotel,هتل جهانگردی,۲۳۰۰۰۰,(۶),۴.۴,فارس,فسا,(۲ ستاره)
shiraz-homa,hotel,هتل هما,۹۵۰۰۰۰,(۱۹),۴,فارس,شیراز,(۵ ستاره)
shiraz-arg,hotel,هتل ارگ,۳۷۵۰۰۰,(۶۲),۴,فارس,شیراز,(۳ ستاره)
shiraz-ariobarzan,hotel,هتل آریوبرزن,۳۶۰۰۰۰,(۲۹),۳.۳,فارس,شیراز,(۴ ستاره)
shiraz-vakil,hotel,هتل سنتی وکیل,۳۸۰۰۰۰,(۲۹),۴.۲,فارس,شیراز,(۳ ستاره)
shiraz-jahangardi,hotel,هتل جهانگردی,۳۱۹۰۰۰,(۵),۳.۸,فارس,شیراز,(۳ ستاره)
shiraz-parsian,hotel,هتل پارسیان,۴۷۸۰۰۰,(۱۴),۳.۶,فارس,شیراز,(۴ ستاره)
7ea1e0c3cb,hotel,هتل قوام,۱۸۵۰۰۰,(۳),۲.۴,فارس,شیراز,(۱ ستاره)
0aa33f33fe,hotel,هتل سنتی درباری,۳۰۰۰۰۰,(۵),۴.۱,فارس,شیراز,(۱ ستاره)
shiraz-sasan,hotel,هتل ساسان,۲۵۹۰۰۰,(۳۸),۴.۱,فارس,شیراز,(۲ ستاره)
shiraz-atlas,hotel,هتل اطلس,۲۹۵۰۰۰,(۴۵),۳.۸,فارس,شیراز,(۳ ستاره)
shiraz-nasir ai-mulk,hotel,هتل نصیر الملک,۲۶۰۰۰۰,(۲),۲.۴,فارس,شیراز,(۲ ستاره)
shiraz-elizeh,hotel,هتل الیزه,۵۹۹۰۰۰,(۶۰),۴.۲,فارس,شیراز,(۴ ستاره)
shiraz-zandieh,hotel,هتل زندیه,۹۶۶۰۰۰,(۳۱),۴.۴,فارس,شیراز,(۵ ستاره)
shiraz-karimkhan,hotel,هتل کریم خان,۴۵۰۰۰۰,(۲۴),۳.۸,فارس,شیراز,(۴ ستاره)
shiraz-shirazis,hotel,هتل شیرازیس,۳۸۰۰۰۰,,,فارس,شیراز,(۳ ستاره)
shiraz-perspolis,hotel,هتل پرسپولیس,۵۴۵۰۰۰,(۳۳),۳.۵,فارس,شیراز,(۵ ستاره)
shiraz-hafez,hotel,هتل حافظ,۱۱۰۰۰۰,(۱۰),۳.۵,فارس,شیراز,(۲ ستاره)
shiraz-parksaadi,hotel,هتل پارک سعدی,۴۹۵۰۰۰,(۱۱),۳.۷,فارس,شیراز,(۴ ستاره)
shiraz-ariyana,hotel,هتل آریانا,۳۴۰۰۰۰,(۴۹),۲.۹,فارس,شیراز,(۲ ستاره)
shiraz-chamran,hotel,هتل چمران,۸۵۷۰۰۰,(۶۶),۳.۹,فارس,شیراز,(۵ ستاره)
shiraz-shams,hotel,هتل شمس,۳۸۰۰۰۰,(۵),۴.۱,فارس,شیراز,(۲ ستاره)
shiraz-bozorg,hotel,هتل بزرگ,۹۹۴۰۰۰,(۷۲),۴.۴,فارس,شیراز,(۵ ستاره)
shiraz-pars,hotel,هتل پارس,۴۵۰۰۰۰,(۷۱),۳.۸,فارس,شیراز,(۴ ستاره)
shiraz-sonnati-niyayesh,hotel,هتل مجموعه هتل های سنتی میراثی نیایش,۳۰۸۰۰۰,(۲۱),۳.۴,فارس,شیراز,(۳ ستاره)
shiraz-royal,hotel,هتل رویال,۵۸۵۰۰۰,(۶),۳.۵,فارس,شیراز,(۴ ستاره)
shiraz-talar,hotel,هتل تالار,۳۵۰۰۰۰,(۱۰),۳.۵,فارس,شیراز,(۳ ستاره)
shiraz-parseh,hotel,هتل پارسه,۲۸۰۰۰۰,(۲۰),۳.۷,فارس,شیراز,(۳ ستاره)
shiraz-panjdari,hotel,هتل پنج دری,۴۸۰۰۰۰,(۱۹),۳.۷,فارس,شیراز,(۳ ستاره)
7ea1e0c3cb,hotel,هتل قوام,۱۸۵۰۰۰,(۳),۲.۴,فارس,شیراز,(۱ ستاره)
0aa33f33fe,hotel,هتل سنتی درباری,۳۰۰۰۰۰,(۵),۴.۱,فارس,شیراز,(۱ ستاره)
shiraz-sasan,hotel,هتل ساسان,۲۵۹۰۰۰,(۳۸),۴.۱,فارس,شیراز,(۲ ستاره)
shiraz-atlas,hotel,هتل اطلس,۲۹۵۰۰۰,(۴۵),۳.۸,فارس,شیراز,(۳ ستاره)
shiraz-nasir ai-mulk,hotel,هتل نصیر الملک,۲۶۰۰۰۰,(۲),۲.۴,فارس,شیراز,(۲ ستاره)
shiraz-elizeh,hotel,هتل الیزه,۵۹۹۰۰۰,(۶۰),۴.۲,فارس,شیراز,(۴ ستاره)
shiraz-homa,hotel,هتل هما,۹۵۰۰۰۰,(۱۹),۴,فارس,شیراز,(۵ ستاره)
